model,target,task_type,feature_block,features,n_common,n_checkpoint_groups,n_oof,r2_oof,mae_oof,spearman_oof,auc_oof,log_loss_oof,balanced_accuracy_oof
qwen,absolute_delta_nll_cumulative,regression,Pk5+A,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,64,0.200222799608757,0.06540457112970732,0.7174908424908424,,,
qwen,absolute_delta_nll_cumulative,regression,Pk5+C5,"p_k4,p_k8,p_k16,p_k32,c_epsilon",64,4,64,0.29882214323347145,0.060388102570312935,0.7905997092975537,,,
qwen,absolute_delta_nll_cumulative,regression,Pk5+A+C5,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,64,-0.010754101486658785,0.06725446485809457,0.6026556776556776,,,
qwen,delta_nll_cumulative,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,64,-0.28418706025273943,0.01881622559849544,0.00293040293040293,,,
qwen,delta_nll_cumulative,regression,C5,c_epsilon,64,4,64,0.278142581004044,0.01203486802201393,0.5716182648985412,,,
qwen,delta_nll_cumulative,regression,Pk5,"p_k4,p_k8,p_k16,p_k32",64,4,64,-0.263814346244293,0.018452291619537518,-0.05284412565300922,,,
qwen,delta_nll_cumulative,regression,A+C5,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,64,0.3283957104182431,0.01182555806147231,0.6848443223443222,,,
qwen,delta_nll_cumulative,regression,Pk5+A,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,64,-0.29890010981500015,0.019122918162445636,-0.0017857142857142859,,,
qwen,delta_nll_cumulative,regression,Pk5+C5,"p_k4,p_k8,p_k16,p_k32,c_epsilon",64,4,64,0.18278606687189147,0.014303318223888313,0.5494568390565919,,,
qwen,delta_nll_cumulative,regression,Pk5+A+C5,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,64,0.1497311745684824,0.01564560998074142,0.63507326007326,,,
qwen,is_opd,classification,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,64,,,,0.5950520833333334,0.5331264092802654,0.5416666666666667
qwen,is_opd,classification,C5,c_epsilon,64,4,64,,,,0.7083333333333334,1.3049499005261533,0.5208333333333333
qwen,is_opd,classification,Pk5,"p_k4,p_k8,p_k16,p_k32",64,4,64,,,,0.5208333333333334,1.037384278308506,0.5
qwen,is_opd,classification,A+C5,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,64,,,,0.7122395833333334,1.4139832878425636,0.5208333333333333
qwen,is_opd,classification,Pk5+A,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,64,,,,0.5520833333333334,0.9447066816830563,0.5104166666666667
qwen,is_opd,classification,Pk5+C5,"p_k4,p_k8,p_k16,p_k32,c_epsilon",64,4,64,,,,0.6666666666666666,1.3459584411035603,0.53125
qwen,is_opd,classification,Pk5+A+C5,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,64,,,,0.6809895833333334,1.394580139868504,0.53125
