absolute_contraction,arm,checkpoint,epsilon,layer,model,module,probe_name,relative_functional_contraction_module,source_name,source_protocol,state_rank_base,state_rank_current,state_rank_delta,source_key,artifact_probe_name,sample_count,sample_ids_sha256,source_path,module_set
0.0,base,0,0.05,18,qwen,mlp.gate_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,701.0,701.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.gate_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,300.0,300.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.up_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,2064.0,2064.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.up_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1706.0,1706.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.up_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1344.0,1344.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.up_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,920.0,920.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.down_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,2190.0,2190.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.down_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1900.0,1900.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.down_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1590.0,1590.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.down_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1200.0,1200.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,self_attn.v_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,589.0,589.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,self_attn.v_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,404.0,404.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,self_attn.v_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,253.0,253.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,self_attn.v_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,116.0,116.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,self_attn.o_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1347.0,1347.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,self_attn.o_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,969.0,969.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,self_attn.o_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,672.0,672.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,self_attn.o_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,387.0,387.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.gate_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1528.0,1528.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.gate_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1005.0,1005.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.gate_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,584.0,584.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.gate_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,228.0,228.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.up_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1933.0,1933.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.up_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1521.0,1521.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.up_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1127.0,1127.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.up_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,695.0,695.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.down_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,2024.0,2024.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.down_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1649.0,1649.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.down_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1274.0,1274.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.down_proj,E_ifeval,0.0,qwen_d4_merged_state,D4.1_current_merged_state,839.0,839.0,0.0,qwen_state_module,E_if,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,self_attn.v_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,687.0,687.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,self_attn.v_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,519.0,519.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,self_attn.v_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,371.0,371.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,self_attn.v_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,216.0,216.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,self_attn.o_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1520.0,1520.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,self_attn.o_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1157.0,1157.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,self_attn.o_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,860.0,860.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,self_attn.o_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,561.0,561.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.gate_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1819.0,1819.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.gate_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1369.0,1369.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.gate_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,956.0,956.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.gate_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,529.0,529.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.up_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,2046.0,2046.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.up_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1691.0,1691.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.up_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1332.0,1332.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.up_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,913.0,913.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.down_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,2176.0,2176.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.down_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1875.0,1875.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.down_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1552.0,1552.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.down_proj,E_mathHeld,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1147.0,1147.0,0.0,qwen_state_module,E_math,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,self_attn.v_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,729.0,729.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,self_attn.v_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,572.0,572.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,self_attn.v_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,431.0,431.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,self_attn.v_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,278.0,278.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,self_attn.o_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1471.0,1471.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,self_attn.o_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1105.0,1105.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,self_attn.o_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,810.0,810.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,self_attn.o_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,518.0,518.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.gate_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1667.0,1667.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.gate_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1163.0,1163.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.gate_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,731.0,731.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.gate_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,327.0,327.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.up_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,2029.0,2029.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.up_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1655.0,1655.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.up_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1281.0,1281.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.up_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,850.0,850.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.down_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,2156.0,2156.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.down_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1847.0,1847.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,mlp.down_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1519.0,1519.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,mlp.down_proj,E_mmluPro,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1114.0,1114.0,0.0,qwen_state_module,E_ood,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,offkd,5,0.01,18,qwen,self_attn.v_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,731.0,731.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,offkd,5,0.025,18,qwen,self_attn.v_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,573.0,573.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
1.0,offkd,5,0.05,18,qwen,self_attn.v_proj,E_general,0.002320185614849188,qwen_d4_merged_state,D4.1_current_merged_state,431.0,430.0,-1.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,offkd,5,0.1,18,qwen,self_attn.v_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,277.0,277.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
1.0,offkd,5,0.01,18,qwen,self_attn.o_proj,E_general,0.000646830530401035,qwen_d4_merged_state,D4.1_current_merged_state,1546.0,1545.0,-1.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,offkd,5,0.025,18,qwen,self_attn.o_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1186.0,1186.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
1.0,offkd,5,0.05,18,qwen,self_attn.o_proj,E_general,0.0011235955056179776,qwen_d4_merged_state,D4.1_current_merged_state,890.0,889.0,-1.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,offkd,5,0.1,18,qwen,self_attn.o_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,589.0,589.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
1.0,offkd,5,0.01,18,qwen,mlp.gate_proj,E_general,0.0006093845216331506,qwen_d4_merged_state,D4.1_current_merged_state,1641.0,1640.0,-1.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
1.0,offkd,5,0.025,18,qwen,mlp.gate_proj,E_general,0.00088261253309797,qwen_d4_merged_state,D4.1_current_merged_state,1133.0,1132.0,-1.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
1.0,offkd,5,0.05,18,qwen,mlp.gate_proj,E_general,0.0014265335235378032,qwen_d4_merged_state,D4.1_current_merged_state,701.0,700.0,-1.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
1.0,offkd,5,0.1,18,qwen,mlp.gate_proj,E_general,0.0033333333333333335,qwen_d4_merged_state,D4.1_current_merged_state,300.0,299.0,-1.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,offkd,5,0.01,18,qwen,mlp.up_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,2064.0,2064.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
