model,domain,target,feature_block,OOF_R2,OOF_MAE,OOF_prediction_spearman,n_checkpoint_groups,n_state_rows,analysis_role,outer_split,standardization,alpha_selection
llama,math,delta_nll_b,C-only-matched,-0.06583444531014115,0.13922054082319268,-0.2652173913043478,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,Pk4-only,-0.16351644806055043,0.1465067142666746,-0.1252173913043478,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,Pk8-only,-0.044346327062259716,0.13566064278156223,-0.1843478260869565,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,Pk16-only,-0.08393953867601023,0.13608806990827607,-0.2904347826086956,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,Pk32-only,-0.07161567701471494,0.13513995048232044,-0.2843478260869565,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,PkAll-only,-0.002659587328247559,0.13503241966248025,0.1060869565217391,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,C-only,0.8769481084485381,0.23164939897218403,0.8669565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,C-only-matched,0.8769481084485381,0.23164939897218403,0.8669565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,Pk4-only,0.3483346351234372,0.5672342414630992,0.5704347826086955,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,Pk8-only,0.6009077962407313,0.42339809906257714,0.6965217391304346,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,Pk16-only,0.4837152428705307,0.4518245038196452,0.6599999999999999,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,Pk32-only,0.6728137083309793,0.35527433913647394,0.7965217391304347,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,PkAll-only,0.5194990891393279,0.4679587566724271,0.7234782608695651,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,C-only,0.560830581517439,0.09466689477182683,0.5156521739130434,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,C-only-matched,0.560830581517439,0.09466689477182683,0.5156521739130434,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,Pk4-only,0.42726021242022827,0.099454598898438,0.8043478260869565,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,Pk8-only,0.6149885474413134,0.08741968518683609,0.7869565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,Pk16-only,0.49732481798594175,0.10164092126213653,0.7869565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,Pk32-only,0.5959878454351766,0.09108561115258583,0.82,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,PkAll-only,0.43731782555119236,0.10086282103455418,0.8121739130434782,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,C-only,0.8121230120704621,0.16700193756037773,0.7539130434782607,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,C-only-matched,0.8121230120704621,0.16700193756037773,0.7539130434782607,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,Pk4-only,0.4745754046503723,0.28282502480801514,0.7852173913043478,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,Pk8-only,0.6396778956137563,0.2384562287924603,0.7817391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,Pk16-only,0.45190515805702014,0.26204592459672776,0.7747826086956522,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,Pk32-only,0.6474228530469042,0.20620874950781073,0.8617391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,PkAll-only,0.6173000727761085,0.24749860888012773,0.8469565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,C-only,0.8034789518801433,0.039020004312154154,0.8443478260869565,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,C-only-matched,0.8034789518801433,0.039020004312154154,0.8443478260869565,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,Pk4-only,0.1826743748263876,0.08059371924927186,0.6686956521739129,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,Pk8-only,0.4202491337532587,0.06205316146933679,0.7391304347826086,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,Pk16-only,0.6651234885569404,0.049589015786313584,0.8234782608695651,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,Pk32-only,0.7947584660838232,0.040077862640722266,0.8904347826086956,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,PkAll-only,0.7646544758432092,0.041553582585147145,0.886086956521739,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,C-only,0.2325865369459491,0.10071886589391484,0.4869565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,C-only-matched,0.2325865369459491,0.10071886589391484,0.4869565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,Pk4-only,-0.3727002746028387,0.1322469740895799,0.025217391304347827,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,Pk8-only,0.3416314418627976,0.09069154195839063,0.6669565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,Pk16-only,0.05118992405314848,0.10249388275454929,0.3182608695652174,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,Pk32-only,0.08414194562742816,0.10103748194536588,0.3808695652173913,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,PkAll-only,-0.15645860610838436,0.1164278507263643,0.3660869565217391,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,C-only,0.882703495398373,0.2156839728895469,0.8947826086956522,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,C-only-matched,0.882703495398373,0.2156839728895469,0.8947826086956522,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,Pk4-only,0.3572153142969344,0.5361737226078623,0.5817391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,Pk8-only,0.6134912805674549,0.39420014558821376,0.7095652173913043,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,Pk16-only,0.4908203431072795,0.42411030315674436,0.6869565217391305,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,Pk32-only,0.6897408989230323,0.3258862529216628,0.8513043478260869,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,PkAll-only,0.5774858543426371,0.4132576646803363,0.7460869565217391,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,C-only,-0.010718402277477335,0.15644824695553688,0.10782608695652172,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,C-only-matched,-0.010718402277477335,0.15644824695553688,0.10782608695652172,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,Pk4-only,-0.024942268849507343,0.15536495170853773,-0.16260869565217392,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,Pk8-only,-0.014076429882627473,0.1543762412414344,-0.05565217391304347,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,Pk16-only,0.05991927115628115,0.1540125054600052,0.2208695652173913,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,Pk32-only,-0.06458645706110877,0.1698154717682957,0.11478260869565216,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,PkAll-only,0.01041065560514498,0.1625858147607292,0.23304347826086955,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,C-only,-0.027459682457765533,0.15479923803374399,0.03826086956521739,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,C-only-matched,-0.027459682457765533,0.15479923803374399,0.03826086956521739,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,Pk4-only,-0.03590931499218697,0.15175105756412852,-0.18869565217391301,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,Pk8-only,-0.025194373874110054,0.1512556388059553,-0.23130434782608694,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,Pk16-only,-0.07519342249733718,0.16551707110598976,0.2504347826086956,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,Pk32-only,-0.12603747265011989,0.17066765784361557,0.2052173913043478,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,PkAll-only,-0.3972742706564467,0.19249629925080733,0.10086956521739131,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,C-only,0.6075553869718493,0.023936215864651972,0.7269565217391305,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,C-only-matched,0.6075553869718493,0.023936215864651972,0.7269565217391305,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,Pk4-only,0.042032110534661826,0.03133791358400968,0.5582608695652173,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,Pk8-only,0.2765619185566812,0.028501142205288914,0.617391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,Pk16-only,0.3523657827078558,0.027043561488409616,0.7278260869565217,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,Pk32-only,0.45691948933608595,0.026050435880739325,0.7573913043478261,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,PkAll-only,0.18085995367344265,0.031592230693782176,0.706086956521739,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,C-only,0.6020281663367373,0.07552212145954695,0.5113043478260869,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,C-only-matched,0.6020281663367373,0.07552212145954695,0.5113043478260869,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,Pk4-only,0.08226724509123207,0.11547893190860296,0.2417391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,Pk8-only,0.15320767842193295,0.11162217810279938,0.3808695652173913,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,Pk16-only,0.3961703341280628,0.09204468462609317,0.6217391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,Pk32-only,0.4520440627195753,0.0910865924841281,0.4504347826086956,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,PkAll-only,0.3566101610006581,0.10140804675870385,0.5095652173913043,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,C-only,0.832402340745072,0.021675146831888537,0.8695652173913043,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,C-only-matched,0.832402340745072,0.021675146831888537,0.8695652173913043,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,Pk4-only,0.26946080078795653,0.03786878555727991,0.6634782608695651,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,Pk8-only,0.3565351499739784,0.036208384679366996,0.6921739130434782,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,Pk16-only,0.4808195619082084,0.03158596108112923,0.7730434782608695,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,Pk32-only,0.6881054724869349,0.026442940942479242,0.8556521739130434,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,PkAll-only,0.39213292364359986,0.034160919997382126,0.8521739130434782,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,C-only,0.44537347466857613,0.5233260354204253,0.6834782608695652,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,C-only-matched,0.44537347466857613,0.5233260354204253,0.6834782608695652,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,Pk4-only,0.0017636137664824858,0.7671890571096958,0.32434782608695645,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,Pk8-only,0.24281468075977197,0.652061911520874,0.4530434782608695,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,Pk16-only,0.12054531961474058,0.6714581092880434,0.3817391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,Pk32-only,0.3064682827318056,0.5632108241394319,0.5991304347826086,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,PkAll-only,0.4736525262600345,0.5386131556187491,0.7113043478260868,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,C-only,0.9318428993115095,0.02972382826558785,0.937391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,C-only-matched,0.9318428993115095,0.02972382826558785,0.937391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,Pk4-only,0.33904184907228463,0.07925930348445075,0.7356521739130434,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,Pk8-only,0.49076546471387006,0.07383285351537239,0.7617391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,Pk16-only,0.6213265967258688,0.06133046606169681,0.8217391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,Pk32-only,0.7884559979897333,0.04847743468460095,0.8913043478260868,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,PkAll-only,0.6368309436780846,0.058466353358832095,0.8826086956521739,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,C-only,0.8688625993239922,0.020577223780129637,0.9191304347826086,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,C-only-matched,0.8688625993239922,0.020577223780129637,0.9191304347826086,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,Pk4-only,0.2973486530091778,0.040214521673527494,0.7626086956521738,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,Pk8-only,0.3874541337162891,0.038527051944263806,0.7913043478260868,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,Pk16-only,0.5795427010643934,0.029255281521262933,0.8808695652173912,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,Pk32-only,0.7430613148330705,0.02304471299320283,0.9365217391304346,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,PkAll-only,0.626624358369666,0.02606758335509651,0.9260869565217391,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,C-only,0.4682459476309755,0.12816659824096868,0.8565217391304346,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,C-only-matched,0.4682459476309755,0.12816659824096868,0.8565217391304346,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,Pk4-only,0.20215994214355404,0.17756313892370165,0.6243478260869564,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,Pk8-only,0.458750340829444,0.14364594679658624,0.7,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,Pk16-only,0.18644555347721403,0.14891033592306088,0.5878260869565216,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,Pk32-only,0.3267196224828117,0.1361399998117604,0.7504347826086956,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,PkAll-only,0.33800659238100816,0.15271059941246592,0.7217391304347825,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,C-only,0.7647370667442289,0.053573039530985606,0.8139130434782607,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,C-only-matched,0.7647370667442289,0.053573039530985606,0.8139130434782607,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,Pk4-only,0.16478932302856308,0.09476261173472493,0.49304347826086947,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,Pk8-only,0.24675877033370852,0.094421573482964,0.5973913043478261,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,Pk16-only,0.4935359266778322,0.07512355797011301,0.786086956521739,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,Pk32-only,0.6757409686026522,0.06222653851683433,0.8191304347826085,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,PkAll-only,0.6932418299911467,0.055993381074952324,0.8008695652173912,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,C-only,0.7907151195868194,0.029885175901676442,0.8599999999999999,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,C-only-matched,0.7907151195868194,0.029885175901676442,0.8599999999999999,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,Pk4-only,0.24665436198387802,0.056684435601465376,0.5565217391304348,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,Pk8-only,0.457984651355162,0.051915413631839415,0.706086956521739,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,Pk16-only,0.6067734569744647,0.04737510591550579,0.7852173913043478,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,Pk32-only,0.7604151915216978,0.03744615212842178,0.8669565217391304,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,PkAll-only,0.48133449935782124,0.05103789853780483,0.8113043478260868,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,C-only,0.4365204024806726,0.4138865803488206,0.8034782608695652,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,C-only-matched,0.4365204024806726,0.4138865803488206,0.8034782608695652,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,Pk4-only,-0.0452081103136317,0.6445358176097213,0.3878260869565217,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,Pk8-only,0.25408224567313153,0.5343881997146235,0.4478260869565217,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,Pk16-only,0.03324937000935968,0.5546467820102421,0.2643478260869565,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,Pk32-only,0.29814042043840594,0.4737596794305925,0.5260869565217391,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
