row_type,model,arm,checkpoint,module_count,included_modules,excluded_modules,aggregation,delta_source,k_values,source_status
pk5_rebuilt_from_raw_modules,llama,seqkd,40,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,seqkd,80,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,seqkd,160,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,seqkd,320,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,sft,5,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,sft,20,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,sft,40,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,sft,80,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,sft,160,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,sft,320,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,offkd,5,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,offkd,20,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,offkd,40,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,offkd,80,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,offkd,160,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,offkd,320,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,offkd,480,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,offkd,624,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,opd,5,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,opd,20,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,opd,40,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,opd,80,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,opd,160,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,opd,320,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,opd,480,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,opd,624,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,seqkd,5,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,seqkd,20,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,seqkd,40,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,seqkd,80,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,seqkd,160,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,seqkd,320,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,seqkd,480,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,seqkd,624,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,sft,5,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,sft,20,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,sft,40,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,sft,80,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,sft,160,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,sft,320,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,sft,480,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,qwen,sft,624,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
feature_coverage,ALL,ALL,-1,5,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",feature_matrix_nonmissing_rows,mixed_c5_state_or_deployed_pk5,c_equal5,120
feature_coverage,ALL,ALL,-1,5,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",feature_matrix_nonmissing_rows,mixed_c5_state_or_deployed_pk5,p4_equal5,112
feature_coverage,ALL,ALL,-1,5,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",feature_matrix_nonmissing_rows,mixed_c5_state_or_deployed_pk5,p8_equal5,112
feature_coverage,ALL,ALL,-1,5,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",feature_matrix_nonmissing_rows,mixed_c5_state_or_deployed_pk5,p16_equal5,112
feature_coverage,ALL,ALL,-1,5,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",feature_matrix_nonmissing_rows,mixed_c5_state_or_deployed_pk5,p32_equal5,112
