model,domain,arm,feature,target,n,pearson,spearman,diagnostic_only,residual_model
llama,math,seqkd,p8_equal5,delta_nll_b_minus_c,6,-0.618639395810983,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,delta_nll_b_minus_c,6,-0.4686826120085186,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,delta_nll_b_minus_c,6,-0.73807177906673,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,delta_nll_b_minus_p,6,-0.1543182121194889,-0.3142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,delta_nll_b_minus_p,6,-0.7646044319151108,-0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,delta_nll_b_minus_p,6,-0.8058825924113772,-0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,delta_nll_b_minus_p,6,-0.7367608684428776,-0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,delta_nll_b_minus_p,6,-0.8549276899048223,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,c_equal5,delta_nll_p,6,0.6769413917605405,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p4_equal5,delta_nll_p,6,0.26526524530125667,0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p8_equal5,delta_nll_p,6,0.6326703272285995,0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p16_equal5,delta_nll_p,6,0.8861162214274895,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p32_equal5,delta_nll_p,6,0.9218143805021838,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,c_equal5,delta_nll_c,6,0.4262135068729318,0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p4_equal5,delta_nll_c,6,0.7978302035128102,0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p8_equal5,delta_nll_c,6,0.9458941518384931,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p16_equal5,delta_nll_c,6,0.7918257780113703,0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p32_equal5,delta_nll_c,6,0.8663938311857274,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,c_equal5,delta_nll_b,6,0.04511917351268255,0.028571428571428574,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p4_equal5,delta_nll_b,6,0.6817085812471058,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p8_equal5,delta_nll_b,6,0.7098822456814754,0.7142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p16_equal5,delta_nll_b,6,0.3793531827992466,0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p32_equal5,delta_nll_b,6,0.5438923759033699,0.3142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,c_equal5,delta_nll_t,6,-0.18372981084538298,0.028571428571428574,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p4_equal5,delta_nll_t,6,0.3706010359194119,0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p8_equal5,delta_nll_t,6,0.49664628172716674,0.3142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p16_equal5,delta_nll_t,6,0.3697152138270037,0.14285714285714288,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p32_equal5,delta_nll_t,6,0.4029554623084794,0.08571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,c_equal5,kl_b,6,0.6309466770378765,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p4_equal5,kl_b,6,0.8104714498498395,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p8_equal5,kl_b,6,0.9733182970910845,0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,sft,p16_equal5,kl_b,6,0.93891743324513,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
