arm,base_r_epsilon,delta_from_base,epsilon,layer,module,n_samples,probe,r_epsilon,step,track
base,658,0,0.025,7,self_attn.o_proj,30,E_math_hard_v2,658,0,per_checkpoint
base,453,0,0.05,7,self_attn.o_proj,30,E_math_hard_v2,453,0,per_checkpoint
base,272,0,0.1,7,self_attn.o_proj,30,E_math_hard_v2,272,0,per_checkpoint
base,964,0,0.01,7,mlp.gate_proj,30,E_math_hard_v2,964,0,per_checkpoint
base,563,0,0.025,7,mlp.gate_proj,30,E_math_hard_v2,563,0,per_checkpoint
base,302,0,0.05,7,mlp.gate_proj,30,E_math_hard_v2,302,0,per_checkpoint
base,113,0,0.1,7,mlp.gate_proj,30,E_math_hard_v2,113,0,per_checkpoint
base,1475,0,0.01,7,mlp.up_proj,30,E_math_hard_v2,1475,0,per_checkpoint
base,1057,0,0.025,7,mlp.up_proj,30,E_math_hard_v2,1057,0,per_checkpoint
base,737,0,0.05,7,mlp.up_proj,30,E_math_hard_v2,737,0,per_checkpoint
base,438,0,0.1,7,mlp.up_proj,30,E_math_hard_v2,438,0,per_checkpoint
base,1800,0,0.01,7,mlp.down_proj,30,E_math_hard_v2,1800,0,per_checkpoint
base,1393,0,0.025,7,mlp.down_proj,30,E_math_hard_v2,1393,0,per_checkpoint
base,1064,0,0.05,7,mlp.down_proj,30,E_math_hard_v2,1064,0,per_checkpoint
base,731,0,0.1,7,mlp.down_proj,30,E_math_hard_v2,731,0,per_checkpoint
base,479,0,0.01,14,self_attn.q_proj,30,E_math_hard_v2,479,0,per_checkpoint
base,246,0,0.025,14,self_attn.q_proj,30,E_math_hard_v2,246,0,per_checkpoint
base,117,0,0.05,14,self_attn.q_proj,30,E_math_hard_v2,117,0,per_checkpoint
base,41,0,0.1,14,self_attn.q_proj,30,E_math_hard_v2,41,0,per_checkpoint
base,298,0,0.01,14,self_attn.k_proj,30,E_math_hard_v2,298,0,per_checkpoint
base,168,0,0.025,14,self_attn.k_proj,30,E_math_hard_v2,168,0,per_checkpoint
base,91,0,0.05,14,self_attn.k_proj,30,E_math_hard_v2,91,0,per_checkpoint
base,40,0,0.1,14,self_attn.k_proj,30,E_math_hard_v2,40,0,per_checkpoint
base,764,0,0.01,14,self_attn.v_proj,30,E_math_hard_v2,764,0,per_checkpoint
base,620,0,0.025,14,self_attn.v_proj,30,E_math_hard_v2,620,0,per_checkpoint
base,487,0,0.05,14,self_attn.v_proj,30,E_math_hard_v2,487,0,per_checkpoint
base,341,0,0.1,14,self_attn.v_proj,30,E_math_hard_v2,341,0,per_checkpoint
base,1177,0,0.01,14,self_attn.o_proj,30,E_math_hard_v2,1177,0,per_checkpoint
base,863,0,0.025,14,self_attn.o_proj,30,E_math_hard_v2,863,0,per_checkpoint
base,627,0,0.05,14,self_attn.o_proj,30,E_math_hard_v2,627,0,per_checkpoint
base,405,0,0.1,14,self_attn.o_proj,30,E_math_hard_v2,405,0,per_checkpoint
base,877,0,0.01,14,mlp.gate_proj,30,E_math_hard_v2,877,0,per_checkpoint
base,470,0,0.025,14,mlp.gate_proj,30,E_math_hard_v2,470,0,per_checkpoint
base,225,0,0.05,14,mlp.gate_proj,30,E_math_hard_v2,225,0,per_checkpoint
base,66,0,0.1,14,mlp.gate_proj,30,E_math_hard_v2,66,0,per_checkpoint
base,1561,0,0.01,14,mlp.up_proj,30,E_math_hard_v2,1561,0,per_checkpoint
base,1129,0,0.025,14,mlp.up_proj,30,E_math_hard_v2,1129,0,per_checkpoint
base,792,0,0.05,14,mlp.up_proj,30,E_math_hard_v2,792,0,per_checkpoint
base,474,0,0.1,14,mlp.up_proj,30,E_math_hard_v2,474,0,per_checkpoint
base,1802,0,0.01,14,mlp.down_proj,30,E_math_hard_v2,1802,0,per_checkpoint
base,1392,0,0.025,14,mlp.down_proj,30,E_math_hard_v2,1392,0,per_checkpoint
base,1060,0,0.05,14,mlp.down_proj,30,E_math_hard_v2,1060,0,per_checkpoint
base,724,0,0.1,14,mlp.down_proj,30,E_math_hard_v2,724,0,per_checkpoint
base,515,0,0.01,21,self_attn.q_proj,30,E_math_hard_v2,515,0,per_checkpoint
base,256,0,0.025,21,self_attn.q_proj,30,E_math_hard_v2,256,0,per_checkpoint
base,114,0,0.05,21,self_attn.q_proj,30,E_math_hard_v2,114,0,per_checkpoint
base,32,0,0.1,21,self_attn.q_proj,30,E_math_hard_v2,32,0,per_checkpoint
base,319,0,0.01,21,self_attn.k_proj,30,E_math_hard_v2,319,0,per_checkpoint
base,171,0,0.025,21,self_attn.k_proj,30,E_math_hard_v2,171,0,per_checkpoint
base,83,0,0.05,21,self_attn.k_proj,30,E_math_hard_v2,83,0,per_checkpoint
base,30,0,0.1,21,self_attn.k_proj,30,E_math_hard_v2,30,0,per_checkpoint
base,685,0,0.01,21,self_attn.v_proj,30,E_math_hard_v2,685,0,per_checkpoint
base,535,0,0.025,21,self_attn.v_proj,30,E_math_hard_v2,535,0,per_checkpoint
base,406,0,0.05,21,self_attn.v_proj,30,E_math_hard_v2,406,0,per_checkpoint
base,274,0,0.1,21,self_attn.v_proj,30,E_math_hard_v2,274,0,per_checkpoint
base,952,0,0.01,21,self_attn.o_proj,30,E_math_hard_v2,952,0,per_checkpoint
base,678,0,0.025,21,self_attn.o_proj,30,E_math_hard_v2,678,0,per_checkpoint
base,480,0,0.05,21,self_attn.o_proj,30,E_math_hard_v2,480,0,per_checkpoint
base,301,0,0.1,21,self_attn.o_proj,30,E_math_hard_v2,301,0,per_checkpoint
base,1206,0,0.01,21,mlp.gate_proj,30,E_math_hard_v2,1206,0,per_checkpoint
base,770,0,0.025,21,mlp.gate_proj,30,E_math_hard_v2,770,0,per_checkpoint
base,463,0,0.05,21,mlp.gate_proj,30,E_math_hard_v2,463,0,per_checkpoint
base,211,0,0.1,21,mlp.gate_proj,30,E_math_hard_v2,211,0,per_checkpoint
base,1525,0,0.01,21,mlp.up_proj,30,E_math_hard_v2,1525,0,per_checkpoint
base,1091,0,0.025,21,mlp.up_proj,30,E_math_hard_v2,1091,0,per_checkpoint
base,758,0,0.05,21,mlp.up_proj,30,E_math_hard_v2,758,0,per_checkpoint
base,447,0,0.1,21,mlp.up_proj,30,E_math_hard_v2,447,0,per_checkpoint
base,1719,0,0.01,21,mlp.down_proj,30,E_math_hard_v2,1719,0,per_checkpoint
base,1297,0,0.025,21,mlp.down_proj,30,E_math_hard_v2,1297,0,per_checkpoint
base,959,0,0.05,21,mlp.down_proj,30,E_math_hard_v2,959,0,per_checkpoint
base,625,0,0.1,21,mlp.down_proj,30,E_math_hard_v2,625,0,per_checkpoint
base,522,0,0.01,7,self_attn.q_proj,128,E_ood,522,0,per_checkpoint
base,223,0,0.025,7,self_attn.q_proj,128,E_ood,223,0,per_checkpoint
base,77,0,0.05,7,self_attn.q_proj,128,E_ood,77,0,per_checkpoint
base,17,0,0.1,7,self_attn.q_proj,128,E_ood,17,0,per_checkpoint
base,308,0,0.01,7,self_attn.k_proj,128,E_ood,308,0,per_checkpoint
base,154,0,0.025,7,self_attn.k_proj,128,E_ood,154,0,per_checkpoint
base,67,0,0.05,7,self_attn.k_proj,128,E_ood,67,0,per_checkpoint
base,19,0,0.1,7,self_attn.k_proj,128,E_ood,19,0,per_checkpoint
base,744,0,0.01,7,self_attn.v_proj,128,E_ood,744,0,per_checkpoint
base,587,0,0.025,7,self_attn.v_proj,128,E_ood,587,0,per_checkpoint
base,444,0,0.05,7,self_attn.v_proj,128,E_ood,444,0,per_checkpoint
base,288,0,0.1,7,self_attn.v_proj,128,E_ood,288,0,per_checkpoint
base,1331,0,0.01,7,self_attn.o_proj,128,E_ood,1331,0,per_checkpoint
base,960,0,0.025,7,self_attn.o_proj,128,E_ood,960,0,per_checkpoint
base,674,0,0.05,7,self_attn.o_proj,128,E_ood,674,0,per_checkpoint
base,403,0,0.1,7,self_attn.o_proj,128,E_ood,403,0,per_checkpoint
base,1606,0,0.01,7,mlp.gate_proj,128,E_ood,1606,0,per_checkpoint
base,987,0,0.025,7,mlp.gate_proj,128,E_ood,987,0,per_checkpoint
base,524,0,0.05,7,mlp.gate_proj,128,E_ood,524,0,per_checkpoint
base,172,0,0.1,7,mlp.gate_proj,128,E_ood,172,0,per_checkpoint
base,2288,0,0.01,7,mlp.up_proj,128,E_ood,2288,0,per_checkpoint
base,1805,0,0.025,7,mlp.up_proj,128,E_ood,1805,0,per_checkpoint
base,1351,0,0.05,7,mlp.up_proj,128,E_ood,1351,0,per_checkpoint
base,853,0,0.1,7,mlp.up_proj,128,E_ood,853,0,per_checkpoint
base,2435,0,0.01,7,mlp.down_proj,128,E_ood,2435,0,per_checkpoint
base,2047,0,0.025,7,mlp.down_proj,128,E_ood,2047,0,per_checkpoint
base,1661,0,0.05,7,mlp.down_proj,128,E_ood,1661,0,per_checkpoint
base,1203,0,0.1,7,mlp.down_proj,128,E_ood,1203,0,per_checkpoint
base,603,0,0.01,14,self_attn.q_proj,128,E_ood,603,0,per_checkpoint
base,288,0,0.025,14,self_attn.q_proj,128,E_ood,288,0,per_checkpoint
base,123,0,0.05,14,self_attn.q_proj,128,E_ood,123,0,per_checkpoint
base,41,0,0.1,14,self_attn.q_proj,128,E_ood,41,0,per_checkpoint
base,330,0,0.01,14,self_attn.k_proj,128,E_ood,330,0,per_checkpoint
base,178,0,0.025,14,self_attn.k_proj,128,E_ood,178,0,per_checkpoint
base,91,0,0.05,14,self_attn.k_proj,128,E_ood,91,0,per_checkpoint
base,39,0,0.1,14,self_attn.k_proj,128,E_ood,39,0,per_checkpoint
base,848,0,0.01,14,self_attn.v_proj,128,E_ood,848,0,per_checkpoint
base,728,0,0.025,14,self_attn.v_proj,128,E_ood,728,0,per_checkpoint
base,602,0,0.05,14,self_attn.v_proj,128,E_ood,602,0,per_checkpoint
base,446,0,0.1,14,self_attn.v_proj,128,E_ood,446,0,per_checkpoint
base,1557,0,0.01,14,self_attn.o_proj,128,E_ood,1557,0,per_checkpoint
base,1191,0,0.025,14,self_attn.o_proj,128,E_ood,1191,0,per_checkpoint
base,891,0,0.05,14,self_attn.o_proj,128,E_ood,891,0,per_checkpoint
base,586,0,0.1,14,self_attn.o_proj,128,E_ood,586,0,per_checkpoint
base,1353,0,0.01,14,mlp.gate_proj,128,E_ood,1353,0,per_checkpoint
base,732,0,0.025,14,mlp.gate_proj,128,E_ood,732,0,per_checkpoint
base,328,0,0.05,14,mlp.gate_proj,128,E_ood,328,0,per_checkpoint
base,83,0,0.1,14,mlp.gate_proj,128,E_ood,83,0,per_checkpoint
base,2264,0,0.01,14,mlp.up_proj,128,E_ood,2264,0,per_checkpoint
base,1776,0,0.025,14,mlp.up_proj,128,E_ood,1776,0,per_checkpoint
base,1320,0,0.05,14,mlp.up_proj,128,E_ood,1320,0,per_checkpoint
base,826,0,0.1,14,mlp.up_proj,128,E_ood,826,0,per_checkpoint
base,2452,0,0.01,14,mlp.down_proj,128,E_ood,2452,0,per_checkpoint
base,2058,0,0.025,14,mlp.down_proj,128,E_ood,2058,0,per_checkpoint
base,1669,0,0.05,14,mlp.down_proj,128,E_ood,1669,0,per_checkpoint
base,1213,0,0.1,14,mlp.down_proj,128,E_ood,1213,0,per_checkpoint
base,726,0,0.01,21,self_attn.q_proj,128,E_ood,726,0,per_checkpoint
base,347,0,0.025,21,self_attn.q_proj,128,E_ood,347,0,per_checkpoint
base,133,0,0.05,21,self_attn.q_proj,128,E_ood,133,0,per_checkpoint
base,31,0,0.1,21,self_attn.q_proj,128,E_ood,31,0,per_checkpoint
base,377,0,0.01,21,self_attn.k_proj,128,E_ood,377,0,per_checkpoint
base,196,0,0.025,21,self_attn.k_proj,128,E_ood,196,0,per_checkpoint
base,83,0,0.05,21,self_attn.k_proj,128,E_ood,83,0,per_checkpoint
base,28,0,0.1,21,self_attn.k_proj,128,E_ood,28,0,per_checkpoint
base,786,0,0.01,21,self_attn.v_proj,128,E_ood,786,0,per_checkpoint
base,652,0,0.025,21,self_attn.v_proj,128,E_ood,652,0,per_checkpoint
base,520,0,0.05,21,self_attn.v_proj,128,E_ood,520,0,per_checkpoint
base,366,0,0.1,21,self_attn.v_proj,128,E_ood,366,0,per_checkpoint
base,1414,0,0.01,21,self_attn.o_proj,128,E_ood,1414,0,per_checkpoint
base,1049,0,0.025,21,self_attn.o_proj,128,E_ood,1049,0,per_checkpoint
base,760,0,0.05,21,self_attn.o_proj,128,E_ood,760,0,per_checkpoint
base,476,0,0.1,21,self_attn.o_proj,128,E_ood,476,0,per_checkpoint
base,1877,0,0.01,21,mlp.gate_proj,128,E_ood,1877,0,per_checkpoint
base,1302,0,0.025,21,mlp.gate_proj,128,E_ood,1302,0,per_checkpoint
base,828,0,0.05,21,mlp.gate_proj,128,E_ood,828,0,per_checkpoint
base,387,0,0.1,21,mlp.gate_proj,128,E_ood,387,0,per_checkpoint
base,2272,0,0.01,21,mlp.up_proj,128,E_ood,2272,0,per_checkpoint
base,1792,0,0.025,21,mlp.up_proj,128,E_ood,1792,0,per_checkpoint
base,1347,0,0.05,21,mlp.up_proj,128,E_ood,1347,0,per_checkpoint
base,865,0,0.1,21,mlp.up_proj,128,E_ood,865,0,per_checkpoint
