arm,probe,sha256,spectra_path,step,track
frozen_self,E_general,bfcabdcf82417e91fd225534f898502a735ee49d37a70242a76b9ff466be3b20,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_005/E_general.json,5,per_checkpoint
frozen_self,S_math,fc43e99112f6d9d3cc1835333e46c6b1511aaa04b6fd6669de25f319defbf5fa,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_020/S_math.json,20,per_checkpoint
frozen_self,E_math,1fb97c074fc1ee57629fd9408861e23c829699045e71d42d971f8d475bc79c34,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_020/E_math.json,20,per_checkpoint
frozen_self,E_math_hard_v2,bd33ef7712cafa5842a80534bdd7e8b6fc93560323da83d845103e94086e79e9,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_020/E_math_hard_v2.json,20,per_checkpoint
frozen_self,E_ood,15c092582942518aa914011451d1811e58db044b02f98805230591039fd86a9f,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_020/E_ood.json,20,per_checkpoint
frozen_self,E_if,4335421e448e3d98252f6486944da780f3abadc990505d67b3ce072ee4d18b75,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_020/E_if.json,20,per_checkpoint
frozen_self,E_general,7db142831dce06e8d85cf9031dcacec22362dd523b849e58e32cd503dfbd831d,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_020/E_general.json,20,per_checkpoint
frozen_self,S_math,bcee21a6afdbabec80ca55e8c3f83174a3d10030757e25a50d603f956168d63c,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_040/S_math.json,40,per_checkpoint
frozen_self,E_math,8eb76f0c21156493826feec65c6d155c7d114a4a2cc65f64ba97fd986143e14d,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_040/E_math.json,40,per_checkpoint
frozen_self,E_math_hard_v2,c72b4f1b01897d557a6127d89c767ae754bc1cbd6c912ba55d6dd4f4299adf93,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_040/E_math_hard_v2.json,40,per_checkpoint
frozen_self,E_ood,06cdb302991ee6e0e0b8d04daad6e6c3ccc0403143101bb38a066c19c4065368,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_040/E_ood.json,40,per_checkpoint
frozen_self,E_if,d13605ba4442890ddcda5d55934bb7f99ed1accdc634c485fbfa92cca65e800a,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_040/E_if.json,40,per_checkpoint
frozen_self,E_general,dfdc62e1c9ca928aaa95e42379779553057f0c2eb69be477ef654c3718a664ba,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_040/E_general.json,40,per_checkpoint
frozen_self,S_math,506c2075e695c9818bb1da4e050afd4aaf2cf8dae816f32810876792fbaea8a1,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_080/S_math.json,80,per_checkpoint
frozen_self,E_math,a7eee51359d73406f06b6f5cdcb5dedadf421b32c2dced8a709b522dac0ec236,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_080/E_math.json,80,per_checkpoint
frozen_self,E_math_hard_v2,e934419a5ff0b5e15939bf62adb421dcf367f35f97cd7efbf890fe739080c474,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_080/E_math_hard_v2.json,80,per_checkpoint
frozen_self,E_ood,247b24027ac01a142834c56fa036b085859972dc778523cdd1c94df871c7764b,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_080/E_ood.json,80,per_checkpoint
frozen_self,E_if,cc14baec65d1e29c94b37721cc57e59d7043446ce2621b33d3c61c82b3dd1a62,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_080/E_if.json,80,per_checkpoint
frozen_self,E_general,1f0456e3b955075d66f97dff6a88210edd1bcfb11d87a6261f07e29dba3d9e56,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_080/E_general.json,80,per_checkpoint
frozen_self,S_math,0ffdad5a3e91fb029bd0795d5137ff7c900bea19a874b3fc5d053af9f8badd53,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_160/S_math.json,160,per_checkpoint
frozen_self,E_math,2edeac38d6f0e370f5d775d52fe793b23bf2ce8f184d8a260fc709c3dda37281,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_160/E_math.json,160,per_checkpoint
frozen_self,E_math_hard_v2,9f0a962e34c2a1c6eb20a7252e69bc87e4996b57e66ee369557e80a55f622012,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_160/E_math_hard_v2.json,160,per_checkpoint
frozen_self,E_ood,f4f6efaeb8dba37fb9b2c64217ce98a99f577af135e01ee4e4ea00fdbc73a6aa,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_160/E_ood.json,160,per_checkpoint
frozen_self,E_if,90a2f9c106c5a38abf977752494b9170bb0224a639b7f00f64c531adf9094020,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_160/E_if.json,160,per_checkpoint
frozen_self,E_general,73471567f9a6388246a440bded351e11d79b94300209c5237712c8b04e6c3e02,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_160/E_general.json,160,per_checkpoint
frozen_self,S_math,74701a27f38df19a1e4a32c8ef4c3db5942b3c5276e92af0b3ab0f61873aa957,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_320/S_math.json,320,per_checkpoint
frozen_self,E_math,e93e80175372f83f0bf109776b91b4c4101fa0a441091abcdf1c6b25b9beab2a,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_320/E_math.json,320,per_checkpoint
frozen_self,E_math_hard_v2,ec6c7128a218cd63eb8339058d6d592659f7d958a39d1d57649884fe8b7c2f29,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_320/E_math_hard_v2.json,320,per_checkpoint
frozen_self,E_ood,9ffb974bebdac0698714f4f5c3f4f2b7024062338e6c564fa8fd13e0bf5ff1a2,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_320/E_ood.json,320,per_checkpoint
frozen_self,E_if,e67740f9ad59d4e2bef6c49c4d6d71fbbbe9c3a05775d68b1f838e14922538f9,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_320/E_if.json,320,per_checkpoint
frozen_self,E_general,5d43b1450bb4de4625fb0afa443cbdc8e7dca0e83507e781f3292897cad18786,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_320/E_general.json,320,per_checkpoint
