arm,step,task,n,accuracy,standard_error,cap_hit_rate,eos_rate,boxed_rate,trunc_but_correct_rate,strict_accuracy,flexible_accuracy,extract_failure_rate,prompt_strict_accuracy,instruction_strict_accuracy,response_length_mean,response_length_median,response_length_p90,max_new_tokens,sample_source
frozen_self,40,mmlu_pro,1400,nan,nan,nan,nan,nan,nan,0.0878571428571428,0.1085714285714285,0.7057142857142857,nan,nan,1622.7371428571428,2048.0,2048.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_biology_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_business_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_chemistry_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_computer_science_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_economics_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_engineering_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_health_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_history_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_law_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_math_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_other_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_philosophy_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_physics_2026-07-24T15-47-30.866252.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_mmlu_pro_psychology_2026-07-24T15-47-30.866252.jsonl
frozen_self,40,ifeval,541,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1201478743068391,0.2434052757793765,1241.3142329020334,1280.0,1280.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/ifeval/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_040/samples_ifeval_2026-07-24T19-22-15.996646.jsonl
frozen_self,80,math500,500,0.036,0.0083311463797006,0.464,0.536,0.56,0.014,nan,nan,nan,nan,nan,8604.622,5359.0,16384.0,16384.0,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/math500/step_080_samples.jsonl
frozen_self,80,mmlu_pro,1400,nan,nan,nan,nan,nan,nan,0.0935714285714285,0.1228571428571428,0.7021428571428572,nan,nan,1574.6335714285717,2048.0,2048.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_biology_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_business_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_chemistry_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_computer_science_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_economics_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_engineering_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_health_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_history_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_law_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_math_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_other_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_philosophy_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_physics_2026-07-24T15-53-51.699176.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_mmlu_pro_psychology_2026-07-24T15-53-51.699176.jsonl
frozen_self,80,ifeval,541,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1497227356746765,0.2577937649880096,1260.6580406654343,1280.0,1280.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_080/ifeval/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_080/samples_ifeval_2026-07-24T19-11-36.247983.jsonl
frozen_self,160,math500,500,0.036,0.0083311463797006,0.52,0.48,0.678,0.012,nan,nan,nan,nan,nan,9350.048,16384.0,16384.0,16384.0,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/math500/step_160_samples.jsonl
frozen_self,160,mmlu_pro,1400,nan,nan,nan,nan,nan,nan,0.1071428571428571,0.1371428571428571,0.64,nan,nan,1503.2964285714286,2048.0,2048.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_biology_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_business_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_chemistry_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_computer_science_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_economics_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_engineering_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_health_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_history_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_law_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_math_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_other_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_philosophy_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_physics_2026-07-25T01-43-11.990356.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_mmlu_pro_psychology_2026-07-25T01-43-11.990356.jsonl
frozen_self,160,ifeval,541,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1201478743068391,0.2314148681055156,1228.1977818853975,1280.0,1280.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_160/ifeval/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_160/samples_ifeval_2026-07-25T01-44-39.413306.jsonl
frozen_self,320,math500,500,0.044,0.0091721317042441,0.518,0.482,0.814,0.026,nan,nan,nan,nan,nan,9167.572,16384.0,16384.0,16384.0,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/math500/step_320_samples.jsonl
frozen_self,320,mmlu_pro,1400,nan,nan,nan,nan,nan,nan,0.13,0.1492857142857143,0.575,nan,nan,1652.9828571428573,2048.0,2048.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_biology_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_business_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_chemistry_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_computer_science_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_economics_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_engineering_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_health_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_history_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_law_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_math_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_other_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_philosophy_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_physics_2026-07-25T01-43-59.538279.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_mmlu_pro_psychology_2026-07-25T01-43-59.538279.jsonl
frozen_self,320,ifeval,541,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1127541589648798,0.2434052757793765,1251.7818853974122,1280.0,1280.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_320/ifeval/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_320/samples_ifeval_2026-07-25T01-45-29.217096.jsonl
