model,arm,checkpoint,probe_name,layer,module,epsilon,centered_state_rank,uncentered_state_rank,centered_minus_uncentered,spectrum_quantity,profile_source,checkpoint_weight_source,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,top32_energy_share,zero_probability_count,rank_spectrum_consistency,centered_state_rank_base,uncentered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_module,uncentered_absolute_contraction,uncentered_relative_contraction_module
llama,base,0,E_general,14,self_attn.o_proj,0.025,1264,1238,26,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.024987453910751432,0.025050814497700382,1.2546089248569037e-05,5.081449770038063e-05,1.2546089248569037e-05,22.27584545050253,483.747246956086,0.04489167435741213,0.19938512631136612,0.3357587415210037,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.o_proj,0.05,982,954,28,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04991007335072289,0.05002954299965701,8.99266492771153e-05,2.9542999657010405e-05,2.9542999657010405e-05,22.27584545050253,483.747246956086,0.04489167435741213,0.19938512631136612,0.3357587415210037,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.o_proj,0.1,687,659,28,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09978237389334675,0.10001526460154439,0.00021762610665325421,1.5264601544384693e-05,1.5264601544384693e-05,22.27584545050253,483.747246956086,0.04489167435741213,0.19938512631136612,0.3357587415210037,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.gate_proj,0.01,2123,1399,724,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.009984767953645264,0.010005214925403558,1.5232046354736462e-05,5.214925403557516e-06,5.214925403557516e-06,15.777635358895198,295.38835273968596,0.06338085380051674,0.3278264665542447,0.496748770910469,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.gate_proj,0.025,1611,784,827,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.02497136031216352,0.025011535178666507,2.8639687836482658e-05,1.153517866650522e-05,1.153517866650522e-05,15.777635358895198,295.38835273968596,0.06338085380051674,0.3278264665542447,0.496748770910469,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.gate_proj,0.05,1157,368,789,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04999142835224989,0.05006532524833862,8.571647750109379e-06,6.532524833861852e-05,8.571647750109379e-06,15.777635358895198,295.38835273968596,0.06338085380051674,0.3278264665542447,0.496748770910469,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.gate_proj,0.1,694,100,594,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09986713143960269,0.10002232640165115,0.0001328685603973201,2.2326401651145966e-05,2.2326401651145966e-05,15.777635358895198,295.38835273968596,0.06338085380051674,0.3278264665542447,0.496748770910469,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.up_proj,0.01,2376,2314,62,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.0099952273045265,0.010020312194927427,4.77269547350008e-06,2.031219492742639e-05,4.77269547350008e-06,27.58013043710481,559.6204415717219,0.03625798660671504,0.21344804279696802,0.3652700367224372,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.up_proj,0.025,1938,1852,86,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.02499198659084022,0.025036794355029642,8.013409159780133e-06,3.679435502964082e-05,8.013409159780133e-06,27.58013043710481,559.6204415717219,0.03625798660671504,0.21344804279696802,0.3652700367224372,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.up_proj,0.05,1514,1412,102,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04996223692782848,0.05003771140832175,3.7763072171521916e-05,3.771140832174724e-05,3.771140832174724e-05,27.58013043710481,559.6204415717219,0.03625798660671504,0.21344804279696802,0.3652700367224372,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.up_proj,0.1,1032,923,109,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09988961707520079,0.10002908046609868,0.00011038292479921552,2.9080466098674318e-05,2.9080466098674318e-05,27.58013043710481,559.6204415717219,0.03625798660671504,0.21344804279696802,0.3652700367224372,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.down_proj,0.01,2546,2529,17,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.00997826451272469,0.010009939669254014,2.1735487275310536e-05,9.939669254013794e-06,9.939669254013794e-06,45.460406871374765,1187.0771204272046,0.02199716344003234,0.09740603501786188,0.18111045359758426,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.down_proj,0.025,2191,2167,24,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.02499078702809332,0.02504505252407112,9.212971906681633e-06,4.505252407112012e-05,9.212971906681633e-06,45.460406871374765,1187.0771204272046,0.02199716344003234,0.09740603501786188,0.18111045359758426,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.down_proj,0.05,1832,1802,30,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.049959302435929276,0.05004636838137778,4.069756407072689e-05,4.6368381377774603e-05,4.069756407072689e-05,45.460406871374765,1187.0771204272046,0.02199716344003234,0.09740603501786188,0.18111045359758426,0,PASS,,,,,,
llama,base,0,E_general,14,mlp.down_proj,0.1,1397,1362,35,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09999649391039012,0.10014463538413504,3.5060896098892957e-06,0.0001446353841350334,3.5060896098892957e-06,45.460406871374765,1187.0771204272046,0.02199716344003234,0.09740603501786188,0.18111045359758426,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.q_proj,0.01,654,391,263,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.009983262745556411,0.01002563615411522,1.673725444358877e-05,2.5636154115219606e-05,1.673725444358877e-05,8.884285252097904,100.97282993683531,0.11255829496963345,0.44722677817415124,0.6552721041296798,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.q_proj,0.025,442,208,234,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.024954219698146412,0.02506485397458491,4.578030185358947e-05,6.485397458490944e-05,4.578030185358947e-05,8.884285252097904,100.97282993683531,0.11255829496963345,0.44722677817415124,0.6552721041296798,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.q_proj,0.05,294,103,191,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04980077387810891,0.050048694783861224,0.00019922612189109123,4.869478386122089e-05,4.869478386122089e-05,8.884285252097904,100.97282993683531,0.11255829496963345,0.44722677817415124,0.6552721041296798,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.q_proj,0.1,167,38,129,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09988700273875148,0.10051052818704476,0.00011299726124852638,0.0005105281870447509,0.00011299726124852638,8.884285252097904,100.97282993683531,0.11255829496963345,0.44722677817415124,0.6552721041296798,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.k_proj,0.01,406,263,143,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.00999069213856101,0.010060882233487018,9.30786143898965e-06,6.0882233487017864e-05,9.30786143898965e-06,9.318385691638102,81.9371816608325,0.10731472522084536,0.46954146030893734,0.6911709344509709,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.k_proj,0.025,278,150,128,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.02495798639169744,0.025143268841629637,4.201360830256157e-05,0.000143268841629636,4.201360830256157e-05,9.318385691638102,81.9371816608325,0.10731472522084536,0.46954146030893734,0.6911709344509709,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.k_proj,0.05,189,84,105,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04983326655786405,0.050248555936957484,0.0001667334421359551,0.00024855593695748135,0.0001667334421359551,9.318385691638102,81.9371816608325,0.10731472522084536,0.46954146030893734,0.6911709344509709,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.k_proj,0.1,113,38,75,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09977109186355787,0.10081132497088204,0.00022890813644213526,0.0008113249708820297,0.00022890813644213526,9.318385691638102,81.9371816608325,0.10731472522084536,0.46954146030893734,0.6911709344509709,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.v_proj,0.01,673,659,14,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.009978395393163936,0.010050117688316904,2.160460683606376e-05,5.011768831690404e-05,2.160460683606376e-05,24.750878167367723,246.41007896522692,0.04040260685854892,0.22494174971111014,0.4223190530493867,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.v_proj,0.025,533,516,17,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.024972591676030886,0.02512583590783181,2.7408323969115023e-05,0.00012583590783180748,2.7408323969115023e-05,24.750878167367723,246.41007896522692,0.04040260685854892,0.22494174971111014,0.4223190530493867,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.v_proj,0.05,415,397,18,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04984418674865826,0.05012709307048207,0.00015581325134174373,0.00012709307048206636,0.00012709307048206636,24.750878167367723,246.41007896522692,0.04040260685854892,0.22494174971111014,0.4223190530493867,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.v_proj,0.1,291,273,18,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09988969302159428,0.10045413585267339,0.00011030697840572201,0.00045413585267338463,0.00011030697840572201,24.750878167367723,246.41007896522692,0.04040260685854892,0.22494174971111014,0.4223190530493867,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.o_proj,0.01,856,828,28,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.00995871840122403,0.010001184884452986,4.128159877597043e-05,1.1848844529861041e-06,1.1848844529861041e-06,22.076383163863373,239.32897888018144,0.04529727503719408,0.2566966141070757,0.4512344708732384,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.o_proj,0.025,636,607,29,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.024928732432135364,0.025031707022528382,7.126756786463712e-05,3.170702252838081e-05,3.170702252838081e-05,22.076383163863373,239.32897888018144,0.04529727503719408,0.2566966141070757,0.4512344708732384,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.o_proj,0.05,469,441,28,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04983825521712379,0.05004912725162126,0.00016174478287621363,4.9127251621254586e-05,4.9127251621254586e-05,22.076383163863373,239.32897888018144,0.04529727503719408,0.2566966141070757,0.4512344708732384,0,PASS,,,,,,
llama,base,0,E_math,14,self_attn.o_proj,0.1,311,286,25,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09963739106038075,0.10009841764777666,0.0003626089396192578,9.841764777665518e-05,9.841764777665518e-05,22.076383163863373,239.32897888018144,0.04529727503719408,0.2566966141070757,0.4512344708732384,0,PASS,,,,,,
llama,base,0,E_math,14,mlp.gate_proj,0.01,974,587,387,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.009973933569693665,0.010009430291858482,2.606643030633564e-05,9.430291858481335e-06,9.430291858481335e-06,9.27878351617783,153.30079209190384,0.10777274825481926,0.39836755727172124,0.5713427351330151,0,PASS,,,,,,
llama,base,0,E_math,14,mlp.gate_proj,0.025,704,322,382,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.0249581976179083,0.02504087185462732,4.1802382091702533e-05,4.087185462731818e-05,4.087185462731818e-05,9.27878351617783,153.30079209190384,0.10777274825481926,0.39836755727172124,0.5713427351330151,0,PASS,,,,,,
llama,base,0,E_math,14,mlp.gate_proj,0.05,495,158,337,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.049834779275019864,0.050002863443982776,0.00016522072498013907,2.8634439827729397e-06,2.8634439827729397e-06,9.27878351617783,153.30079209190384,0.10777274825481926,0.39836755727172124,0.5713427351330151,0,PASS,,,,,,
llama,base,0,E_math,14,mlp.gate_proj,0.1,299,49,250,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09989119989290385,0.10027523560949503,0.0001088001070961575,0.00027523560949502257,0.0001088001070961575,9.27878351617783,153.30079209190384,0.10777274825481926,0.39836755727172124,0.5713427351330151,0,PASS,,,,,,
llama,base,0,E_math,14,mlp.up_proj,0.01,1095,1022,73,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.00998851804978433,0.010026123362486131,1.1481950215670722e-05,2.6123362486130813e-05,1.1481950215670722e-05,15.769601659190455,258.3040258019199,0.06341314267866775,0.28056679934212037,0.4649207776506269,0,PASS,,,,,,
llama,base,0,E_math,14,mlp.up_proj,0.025,833,751,82,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.02499174695033965,0.025074519861943124,8.253049660351952e-06,7.45198619431231e-05,8.253049660351952e-06,15.769601659190455,258.3040258019199,0.06341314267866775,0.28056679934212037,0.4649207776506269,0,PASS,,,,,,
llama,base,0,E_math,14,mlp.up_proj,0.05,619,534,85,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_math.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04993379195991148,0.050093301432427975,6.620804008852094e-05,9.33014324279724e-05,6.620804008852094e-05,15.769601659190455,258.3040258019199,0.06341314267866775,0.28056679934212037,0.4649207776506269,0,PASS,,,,,,
