arm,checkpoint,probe_name,layer,module,epsilon,rr2s_rank,d10_rank,rank_diff,status
base,0,E_if,14,self_attn.q_proj,0.1,44,44.0,0.0,PASS
base,0,E_if,14,self_attn.v_proj,0.01,831,831.0,0.0,PASS
base,0,E_if,14,self_attn.v_proj,0.025,703,703.0,0.0,PASS
base,0,E_if,14,self_attn.v_proj,0.05,571,571.0,0.0,PASS
base,0,E_if,14,self_attn.v_proj,0.1,408,408.0,0.0,PASS
opd,20,E_general,14,mlp.down_proj,0.01,2522,2522.0,0.0,PASS
opd,20,E_general,14,mlp.down_proj,0.025,2157,2157.0,0.0,PASS
opd,20,E_general,14,mlp.down_proj,0.05,1790,1790.0,0.0,PASS
opd,20,E_general,14,mlp.down_proj,0.1,1349,1349.0,0.0,PASS
opd,20,E_general,14,mlp.gate_proj,0.01,1380,1380.0,0.0,PASS
opd,20,E_general,14,mlp.gate_proj,0.025,767,767.0,0.0,PASS
opd,20,E_general,14,mlp.gate_proj,0.05,356,356.0,0.0,PASS
opd,20,E_general,14,mlp.gate_proj,0.1,96,96.0,0.0,PASS
opd,20,E_general,14,mlp.up_proj,0.01,2303,2303.0,0.0,PASS
opd,20,E_general,14,mlp.up_proj,0.025,1838,1838.0,0.0,PASS
opd,20,E_general,14,mlp.up_proj,0.05,1398,1398.0,0.0,PASS
opd,20,E_general,14,mlp.up_proj,0.1,909,909.0,0.0,PASS
opd,20,E_general,14,self_attn.k_proj,0.01,372,372.0,0.0,PASS
opd,20,E_general,14,self_attn.k_proj,0.025,209,209.0,0.0,PASS
opd,20,E_general,14,self_attn.k_proj,0.05,110,110.0,0.0,PASS
opd,20,E_general,14,self_attn.k_proj,0.1,47,47.0,0.0,PASS
opd,20,E_general,14,self_attn.o_proj,0.01,1563,1563.0,0.0,PASS
opd,20,E_general,14,self_attn.o_proj,0.025,1219,1219.0,0.0,PASS
opd,20,E_general,14,self_attn.o_proj,0.05,936,936.0,0.0,PASS
opd,20,E_general,14,self_attn.o_proj,0.1,642,642.0,0.0,PASS
opd,20,E_general,14,self_attn.q_proj,0.01,688,688.0,0.0,PASS
opd,20,E_general,14,self_attn.q_proj,0.025,348,348.0,0.0,PASS
opd,20,E_general,14,self_attn.q_proj,0.05,154,154.0,0.0,PASS
opd,20,E_general,14,self_attn.q_proj,0.1,49,49.0,0.0,PASS
opd,20,E_general,14,self_attn.v_proj,0.01,861,861.0,0.0,PASS
opd,20,E_general,14,self_attn.v_proj,0.025,747,747.0,0.0,PASS
opd,20,E_general,14,self_attn.v_proj,0.05,627,627.0,0.0,PASS
opd,20,E_general,14,self_attn.v_proj,0.1,474,474.0,0.0,PASS
opd,20,E_math,14,mlp.down_proj,0.01,1145,1145.0,0.0,PASS
opd,20,E_math,14,mlp.down_proj,0.025,894,894.0,0.0,PASS
opd,20,E_math,14,mlp.down_proj,0.05,684,684.0,0.0,PASS
opd,20,E_math,14,mlp.down_proj,0.1,468,468.0,0.0,PASS
opd,20,E_math,14,mlp.gate_proj,0.01,563,563.0,0.0,PASS
opd,20,E_math,14,mlp.gate_proj,0.025,303,303.0,0.0,PASS
opd,20,E_math,14,mlp.gate_proj,0.05,145,145.0,0.0,PASS
opd,20,E_math,14,mlp.gate_proj,0.1,43,43.0,0.0,PASS
opd,20,E_math,14,mlp.up_proj,0.01,1004,1004.0,0.0,PASS
opd,20,E_math,14,mlp.up_proj,0.025,733,733.0,0.0,PASS
opd,20,E_math,14,mlp.up_proj,0.05,519,519.0,0.0,PASS
opd,20,E_math,14,mlp.up_proj,0.1,313,313.0,0.0,PASS
opd,20,E_math,14,self_attn.k_proj,0.01,258,258.0,0.0,PASS
opd,20,E_math,14,self_attn.k_proj,0.025,146,146.0,0.0,PASS
opd,20,E_math,14,self_attn.k_proj,0.05,81,81.0,0.0,PASS
opd,20,E_math,14,self_attn.k_proj,0.1,37,37.0,0.0,PASS
opd,20,E_math,14,self_attn.o_proj,0.01,805,805.0,0.0,PASS
opd,20,E_math,14,self_attn.o_proj,0.025,586,586.0,0.0,PASS
opd,20,E_math,14,self_attn.o_proj,0.05,423,423.0,0.0,PASS
opd,20,E_math,14,self_attn.o_proj,0.1,271,271.0,0.0,PASS
opd,20,E_math,14,self_attn.q_proj,0.01,382,382.0,0.0,PASS
opd,20,E_math,14,self_attn.q_proj,0.025,201,201.0,0.0,PASS
opd,20,E_math,14,self_attn.q_proj,0.05,98,98.0,0.0,PASS
opd,20,E_math,14,self_attn.q_proj,0.1,37,37.0,0.0,PASS
opd,20,E_math,14,self_attn.v_proj,0.01,650,650.0,0.0,PASS
opd,20,E_math,14,self_attn.v_proj,0.025,507,507.0,0.0,PASS
opd,20,E_math,14,self_attn.v_proj,0.05,387,387.0,0.0,PASS
opd,20,E_math,14,self_attn.v_proj,0.1,264,264.0,0.0,PASS
opd,20,E_ood,14,mlp.down_proj,0.01,2439,2439.0,0.0,PASS
opd,20,E_ood,14,mlp.down_proj,0.025,2039,2039.0,0.0,PASS
opd,20,E_ood,14,mlp.down_proj,0.05,1648,1648.0,0.0,PASS
opd,20,E_ood,14,mlp.down_proj,0.1,1191,1191.0,0.0,PASS
opd,20,E_ood,14,mlp.gate_proj,0.01,1310,1310.0,0.0,PASS
opd,20,E_ood,14,mlp.gate_proj,0.025,693,693.0,0.0,PASS
opd,20,E_ood,14,mlp.gate_proj,0.05,302,302.0,0.0,PASS
opd,20,E_ood,14,mlp.gate_proj,0.1,74,74.0,0.0,PASS
opd,20,E_ood,14,mlp.up_proj,0.01,2241,2241.0,0.0,PASS
opd,20,E_ood,14,mlp.up_proj,0.025,1747,1747.0,0.0,PASS
opd,20,E_ood,14,mlp.up_proj,0.05,1290,1290.0,0.0,PASS
opd,20,E_ood,14,mlp.up_proj,0.1,798,798.0,0.0,PASS
opd,20,E_ood,14,self_attn.k_proj,0.01,327,327.0,0.0,PASS
opd,20,E_ood,14,self_attn.k_proj,0.025,175,175.0,0.0,PASS
opd,20,E_ood,14,self_attn.k_proj,0.05,89,89.0,0.0,PASS
opd,20,E_ood,14,self_attn.k_proj,0.1,39,39.0,0.0,PASS
opd,20,E_ood,14,self_attn.o_proj,0.01,1531,1531.0,0.0,PASS
opd,20,E_ood,14,self_attn.o_proj,0.025,1167,1167.0,0.0,PASS
opd,20,E_ood,14,self_attn.o_proj,0.05,869,869.0,0.0,PASS
opd,20,E_ood,14,self_attn.o_proj,0.1,568,568.0,0.0,PASS
opd,20,E_ood,14,self_attn.q_proj,0.01,599,599.0,0.0,PASS
opd,20,E_ood,14,self_attn.q_proj,0.025,285,285.0,0.0,PASS
opd,20,E_ood,14,self_attn.q_proj,0.05,120,120.0,0.0,PASS
opd,20,E_ood,14,self_attn.q_proj,0.1,40,40.0,0.0,PASS
opd,20,E_ood,14,self_attn.v_proj,0.01,843,843.0,0.0,PASS
opd,20,E_ood,14,self_attn.v_proj,0.025,721,721.0,0.0,PASS
opd,20,E_ood,14,self_attn.v_proj,0.05,594,594.0,0.0,PASS
opd,20,E_ood,14,self_attn.v_proj,0.1,436,436.0,0.0,PASS
opd,20,E_if,14,mlp.down_proj,0.01,2418,2418.0,0.0,PASS
opd,20,E_if,14,mlp.down_proj,0.025,2008,2008.0,0.0,PASS
opd,20,E_if,14,mlp.down_proj,0.05,1606,1606.0,0.0,PASS
opd,20,E_if,14,mlp.down_proj,0.1,1139,1139.0,0.0,PASS
opd,20,E_if,14,mlp.gate_proj,0.01,1268,1268.0,0.0,PASS
opd,20,E_if,14,mlp.gate_proj,0.025,674,674.0,0.0,PASS
opd,20,E_if,14,mlp.gate_proj,0.05,305,305.0,0.0,PASS
opd,20,E_if,14,mlp.gate_proj,0.1,86,86.0,0.0,PASS
opd,20,E_if,14,mlp.up_proj,0.01,2157,2157.0,0.0,PASS
opd,20,E_if,14,mlp.up_proj,0.025,1646,1646.0,0.0,PASS
opd,20,E_if,14,mlp.up_proj,0.05,1182,1182.0,0.0,PASS
opd,20,E_if,14,mlp.up_proj,0.1,700,700.0,0.0,PASS
opd,20,E_if,14,self_attn.k_proj,0.01,340,340.0,0.0,PASS
opd,20,E_if,14,self_attn.k_proj,0.025,185,185.0,0.0,PASS
opd,20,E_if,14,self_attn.k_proj,0.05,95,95.0,0.0,PASS
opd,20,E_if,14,self_attn.k_proj,0.1,41,41.0,0.0,PASS
opd,20,E_if,14,self_attn.o_proj,0.01,1482,1482.0,0.0,PASS
opd,20,E_if,14,self_attn.o_proj,0.025,1130,1130.0,0.0,PASS
opd,20,E_if,14,self_attn.o_proj,0.05,842,842.0,0.0,PASS
opd,20,E_if,14,self_attn.o_proj,0.1,550,550.0,0.0,PASS
opd,20,E_if,14,self_attn.q_proj,0.01,623,623.0,0.0,PASS
opd,20,E_if,14,self_attn.q_proj,0.025,304,304.0,0.0,PASS
opd,20,E_if,14,self_attn.q_proj,0.05,133,133.0,0.0,PASS
opd,20,E_if,14,self_attn.q_proj,0.1,43,43.0,0.0,PASS
opd,20,E_if,14,self_attn.v_proj,0.01,827,827.0,0.0,PASS
opd,20,E_if,14,self_attn.v_proj,0.025,697,697.0,0.0,PASS
opd,20,E_if,14,self_attn.v_proj,0.05,564,564.0,0.0,PASS
opd,20,E_if,14,self_attn.v_proj,0.1,401,401.0,0.0,PASS
opd,40,E_general,14,mlp.down_proj,0.01,2521,2521.0,0.0,PASS
opd,40,E_general,14,mlp.down_proj,0.025,2156,2156.0,0.0,PASS
opd,40,E_general,14,mlp.down_proj,0.05,1788,1788.0,0.0,PASS
opd,40,E_general,14,mlp.down_proj,0.1,1348,1348.0,0.0,PASS
opd,40,E_general,14,mlp.gate_proj,0.01,1373,1373.0,0.0,PASS
opd,40,E_general,14,mlp.gate_proj,0.025,761,761.0,0.0,PASS
opd,40,E_general,14,mlp.gate_proj,0.05,352,352.0,0.0,PASS
opd,40,E_general,14,mlp.gate_proj,0.1,95,95.0,0.0,PASS
opd,40,E_general,14,mlp.up_proj,0.01,2299,2299.0,0.0,PASS
opd,40,E_general,14,mlp.up_proj,0.025,1833,1833.0,0.0,PASS
opd,40,E_general,14,mlp.up_proj,0.05,1392,1392.0,0.0,PASS
opd,40,E_general,14,mlp.up_proj,0.1,903,903.0,0.0,PASS
opd,40,E_general,14,self_attn.k_proj,0.01,371,371.0,0.0,PASS
opd,40,E_general,14,self_attn.k_proj,0.025,209,209.0,0.0,PASS
opd,40,E_general,14,self_attn.k_proj,0.05,109,109.0,0.0,PASS
opd,40,E_general,14,self_attn.k_proj,0.1,47,47.0,0.0,PASS
opd,40,E_general,14,self_attn.o_proj,0.01,1561,1561.0,0.0,PASS
opd,40,E_general,14,self_attn.o_proj,0.025,1217,1217.0,0.0,PASS
opd,40,E_general,14,self_attn.o_proj,0.05,934,934.0,0.0,PASS
opd,40,E_general,14,self_attn.o_proj,0.1,640,640.0,0.0,PASS
opd,40,E_general,14,self_attn.q_proj,0.01,685,685.0,0.0,PASS
opd,40,E_general,14,self_attn.q_proj,0.025,346,346.0,0.0,PASS
opd,40,E_general,14,self_attn.q_proj,0.05,153,153.0,0.0,PASS
opd,40,E_general,14,self_attn.q_proj,0.1,49,49.0,0.0,PASS
opd,40,E_general,14,self_attn.v_proj,0.01,860,860.0,0.0,PASS
opd,40,E_general,14,self_attn.v_proj,0.025,746,746.0,0.0,PASS
opd,40,E_general,14,self_attn.v_proj,0.05,625,625.0,0.0,PASS
opd,40,E_general,14,self_attn.v_proj,0.1,472,472.0,0.0,PASS
opd,40,E_math,14,mlp.down_proj,0.01,1141,1141.0,0.0,PASS
opd,40,E_math,14,mlp.down_proj,0.025,890,890.0,0.0,PASS
opd,40,E_math,14,mlp.down_proj,0.05,681,681.0,0.0,PASS
opd,40,E_math,14,mlp.down_proj,0.1,466,466.0,0.0,PASS
opd,40,E_math,14,mlp.gate_proj,0.01,557,557.0,0.0,PASS
opd,40,E_math,14,mlp.gate_proj,0.025,300,300.0,0.0,PASS
opd,40,E_math,14,mlp.gate_proj,0.05,144,144.0,0.0,PASS
opd,40,E_math,14,mlp.gate_proj,0.1,43,43.0,0.0,PASS
opd,40,E_math,14,mlp.up_proj,0.01,997,997.0,0.0,PASS
opd,40,E_math,14,mlp.up_proj,0.025,726,726.0,0.0,PASS
opd,40,E_math,14,mlp.up_proj,0.05,513,513.0,0.0,PASS
opd,40,E_math,14,mlp.up_proj,0.1,309,309.0,0.0,PASS
opd,40,E_math,14,self_attn.k_proj,0.01,258,258.0,0.0,PASS
opd,40,E_math,14,self_attn.k_proj,0.025,147,147.0,0.0,PASS
opd,40,E_math,14,self_attn.k_proj,0.05,81,81.0,0.0,PASS
opd,40,E_math,14,self_attn.k_proj,0.1,37,37.0,0.0,PASS
opd,40,E_math,14,self_attn.o_proj,0.01,805,805.0,0.0,PASS
opd,40,E_math,14,self_attn.o_proj,0.025,586,586.0,0.0,PASS
opd,40,E_math,14,self_attn.o_proj,0.05,423,423.0,0.0,PASS
opd,40,E_math,14,self_attn.o_proj,0.1,271,271.0,0.0,PASS
opd,40,E_math,14,self_attn.q_proj,0.01,380,380.0,0.0,PASS
opd,40,E_math,14,self_attn.q_proj,0.025,200,200.0,0.0,PASS
opd,40,E_math,14,self_attn.q_proj,0.05,98,98.0,0.0,PASS
opd,40,E_math,14,self_attn.q_proj,0.1,36,36.0,0.0,PASS
opd,40,E_math,14,self_attn.v_proj,0.01,647,647.0,0.0,PASS
opd,40,E_math,14,self_attn.v_proj,0.025,504,504.0,0.0,PASS
opd,40,E_math,14,self_attn.v_proj,0.05,384,384.0,0.0,PASS
opd,40,E_math,14,self_attn.v_proj,0.1,262,262.0,0.0,PASS
opd,40,E_ood,14,mlp.down_proj,0.01,2435,2435.0,0.0,PASS
opd,40,E_ood,14,mlp.down_proj,0.025,2035,2035.0,0.0,PASS
opd,40,E_ood,14,mlp.down_proj,0.05,1643,1643.0,0.0,PASS
opd,40,E_ood,14,mlp.down_proj,0.1,1187,1187.0,0.0,PASS
opd,40,E_ood,14,mlp.gate_proj,0.01,1297,1297.0,0.0,PASS
opd,40,E_ood,14,mlp.gate_proj,0.025,684,684.0,0.0,PASS
opd,40,E_ood,14,mlp.gate_proj,0.05,297,297.0,0.0,PASS
opd,40,E_ood,14,mlp.gate_proj,0.1,73,73.0,0.0,PASS
opd,40,E_ood,14,mlp.up_proj,0.01,2232,2232.0,0.0,PASS
opd,40,E_ood,14,mlp.up_proj,0.025,1736,1736.0,0.0,PASS
opd,40,E_ood,14,mlp.up_proj,0.05,1278,1278.0,0.0,PASS
opd,40,E_ood,14,mlp.up_proj,0.1,787,787.0,0.0,PASS
opd,40,E_ood,14,self_attn.k_proj,0.01,326,326.0,0.0,PASS
opd,40,E_ood,14,self_attn.k_proj,0.025,174,174.0,0.0,PASS
opd,40,E_ood,14,self_attn.k_proj,0.05,89,89.0,0.0,PASS
opd,40,E_ood,14,self_attn.k_proj,0.1,39,39.0,0.0,PASS
opd,40,E_ood,14,self_attn.o_proj,0.01,1526,1526.0,0.0,PASS
opd,40,E_ood,14,self_attn.o_proj,0.025,1160,1160.0,0.0,PASS
opd,40,E_ood,14,self_attn.o_proj,0.05,863,863.0,0.0,PASS
opd,40,E_ood,14,self_attn.o_proj,0.1,562,562.0,0.0,PASS
opd,40,E_ood,14,self_attn.q_proj,0.01,594,594.0,0.0,PASS
opd,40,E_ood,14,self_attn.q_proj,0.025,282,282.0,0.0,PASS
opd,40,E_ood,14,self_attn.q_proj,0.05,119,119.0,0.0,PASS
opd,40,E_ood,14,self_attn.q_proj,0.1,40,40.0,0.0,PASS
opd,40,E_ood,14,self_attn.v_proj,0.01,841,841.0,0.0,PASS
opd,40,E_ood,14,self_attn.v_proj,0.025,718,718.0,0.0,PASS
opd,40,E_ood,14,self_attn.v_proj,0.05,591,591.0,0.0,PASS
opd,40,E_ood,14,self_attn.v_proj,0.1,433,433.0,0.0,PASS
opd,40,E_if,14,mlp.down_proj,0.01,2412,2412.0,0.0,PASS
opd,40,E_if,14,mlp.down_proj,0.025,2000,2000.0,0.0,PASS
opd,40,E_if,14,mlp.down_proj,0.05,1597,1597.0,0.0,PASS
opd,40,E_if,14,mlp.down_proj,0.1,1130,1130.0,0.0,PASS
opd,40,E_if,14,mlp.gate_proj,0.01,1256,1256.0,0.0,PASS
opd,40,E_if,14,mlp.gate_proj,0.025,664,664.0,0.0,PASS
opd,40,E_if,14,mlp.gate_proj,0.05,299,299.0,0.0,PASS
opd,40,E_if,14,mlp.gate_proj,0.1,85,85.0,0.0,PASS
opd,40,E_if,14,mlp.up_proj,0.01,2147,2147.0,0.0,PASS
opd,40,E_if,14,mlp.up_proj,0.025,1632,1632.0,0.0,PASS
opd,40,E_if,14,mlp.up_proj,0.05,1168,1168.0,0.0,PASS
opd,40,E_if,14,mlp.up_proj,0.1,688,688.0,0.0,PASS
opd,40,E_if,14,self_attn.k_proj,0.01,338,338.0,0.0,PASS
opd,40,E_if,14,self_attn.k_proj,0.025,184,184.0,0.0,PASS
opd,40,E_if,14,self_attn.k_proj,0.05,95,95.0,0.0,PASS
opd,40,E_if,14,self_attn.k_proj,0.1,41,41.0,0.0,PASS
opd,40,E_if,14,self_attn.o_proj,0.01,1480,1480.0,0.0,PASS
opd,40,E_if,14,self_attn.o_proj,0.025,1127,1127.0,0.0,PASS
opd,40,E_if,14,self_attn.o_proj,0.05,840,840.0,0.0,PASS
opd,40,E_if,14,self_attn.o_proj,0.1,547,547.0,0.0,PASS
opd,40,E_if,14,self_attn.q_proj,0.01,617,617.0,0.0,PASS
opd,40,E_if,14,self_attn.q_proj,0.025,300,300.0,0.0,PASS
opd,40,E_if,14,self_attn.q_proj,0.05,130,130.0,0.0,PASS
opd,40,E_if,14,self_attn.q_proj,0.1,42,42.0,0.0,PASS
opd,40,E_if,14,self_attn.v_proj,0.01,824,824.0,0.0,PASS
opd,40,E_if,14,self_attn.v_proj,0.025,694,694.0,0.0,PASS
opd,40,E_if,14,self_attn.v_proj,0.05,560,560.0,0.0,PASS
opd,40,E_if,14,self_attn.v_proj,0.1,397,397.0,0.0,PASS
opd,80,E_general,14,mlp.down_proj,0.01,2519,2519.0,0.0,PASS
opd,80,E_general,14,mlp.down_proj,0.025,2154,2154.0,0.0,PASS
opd,80,E_general,14,mlp.down_proj,0.05,1786,1786.0,0.0,PASS
opd,80,E_general,14,mlp.down_proj,0.1,1345,1345.0,0.0,PASS
opd,80,E_general,14,mlp.gate_proj,0.01,1369,1369.0,0.0,PASS
opd,80,E_general,14,mlp.gate_proj,0.025,758,758.0,0.0,PASS
opd,80,E_general,14,mlp.gate_proj,0.05,350,350.0,0.0,PASS
opd,80,E_general,14,mlp.gate_proj,0.1,94,94.0,0.0,PASS
opd,80,E_general,14,mlp.up_proj,0.01,2297,2297.0,0.0,PASS
opd,80,E_general,14,mlp.up_proj,0.025,1830,1830.0,0.0,PASS
opd,80,E_general,14,mlp.up_proj,0.05,1389,1389.0,0.0,PASS
opd,80,E_general,14,mlp.up_proj,0.1,901,901.0,0.0,PASS
opd,80,E_general,14,self_attn.k_proj,0.01,370,370.0,0.0,PASS
opd,80,E_general,14,self_attn.k_proj,0.025,208,208.0,0.0,PASS
opd,80,E_general,14,self_attn.k_proj,0.05,109,109.0,0.0,PASS
opd,80,E_general,14,self_attn.k_proj,0.1,47,47.0,0.0,PASS
opd,80,E_general,14,self_attn.o_proj,0.01,1560,1560.0,0.0,PASS
opd,80,E_general,14,self_attn.o_proj,0.025,1215,1215.0,0.0,PASS
